Religion,Northern States,North Eastern States,Central States,Southern States
Hindu,768147,177682,1608298,2724433
Islam,196790,42282,425372,369556
Christian,8965,72461,39331,299713
Sikh,66834,204,4487,2530
Buddhist,2678,3913,31602,1265
Parsi,155,14,1092,889
Jain,5720,316,23922,9962
Others,258238,30810,497978,375180
