State /UT,Hindu,Islam,Christian,Sikh,Budhhist,Parsi,Jain,Others
Northern States,768147,196790,8965,66834,2678,155,5720,258238
North Eastern States,177682,42282,72461,204,3913,14,316,30810
Central States,1608298,425372,39331,4487,31602,1092,23922,497978
Southern States,2724433,369556,299713,2530,1265,889,9962,375180
