Broad Activity Category,Manufacturing,Trade,Other Services,Electricity*,All
Rural,186.56,160.64,150.53,0.06,497.78
Urban,173.86,226.54,211.69,0.02,612.10
Total,360.41,387.18,362.22,0.07,1109.89
