CASTE,Northern States,North Eastern States,Central States,Southern States
SC,11.38,2.53,36.02,43.67
ST,7.47,18.71,45.71,28.11
OBC,14.26,2.57,20.11,63.05
Others,19.30,3.51,42.15,35.04
