State/UT,Northern States,North Eastern States,Central States,Southern States (Including Goa),,
Self- finance,995676,299807,1884570,3185394,,
Financial Assistance from Govt. sources,38312,6069,143980,82617,,
Borrowing from financial institution,11183,3491,32557,39558,,
"-
Borrowing from Non- institutions
Money Lenders",7404,2271,35728,22122,,
Loan from Self Help Group,2511,1396,13100,63653,,
"Donations
Transfers from other agencies",252441,14648,522147,390184,,
